ID,coffee_in_cafe,cost_beer,cost_coworking,cost_expat,cost_nomad,female_friendly,fragile_states_index,free_wifi_available,freedom_score,friendly_to_foreigners,internet_speed,latitude,leisure,lgbt_friendly,life_score,longitude,nightlife,nomadScore,nomad_score,peace_score,place,places_to_work,press_freedom_index,racism,safety,weed,City,Temperature (Celsius),Wind Speed (m/s),Latitude,Longitude,Description,Country,Rank_x,Visa-Free Access,GDP per capita (USD),  Dwellings without basic facilities,  Housing expenditure,  Rooms per person,  Household net adjusted disposable income,  Household net wealth,  Labour market insecurity,  Employment rate,  Long-term unemployment rate,  Personal earnings,  Quality of support network,  Educational attainment,  Student skills,  Years in education,  Air pollution,  Water quality,  Stakeholder engagement for developing regulations,  Voter turnout,  Life expectancy,  Self-reported health,  Feeling safe walking alone at night,  Homicide rate,  Employees working very long hours,  Time devoted to leisure and personal care,  Life satisfaction,MostDangerousCountriesForWomen_WomenPeaceAndSecurityIndex_Score_2023,MostDangerousCountriesForWomen_WomensDangerIndexWDI_TotalScore_2019,MostDangerousCountriesForWomen_WDIStreetSafety_2019,MostDangerousCountriesForWomen_WDIIntentionalHomicide_2019,MostDangerousCountriesForWomen_WDINonPartnerViolence_2019,MostDangerousCountriesForWomen_WDIIntimatePartnerViolence_2019,MostDangerousCountriesForWomen_WDILegalDiscrimination_2019,MostDangerousCountriesForWomen_WDIGlobalGenderGap_2019,MostDangerousCountriesForWomen_WDIGenderInequality_2019,MostDangerousCountriesForWomen_WDIAttitudesTowardViolence_2019,Rank_y,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year,GDP (in Trillions USD),GDP per Capita (in USD),Inflation Rate (%),Population (in Millions),Population Growth Rate (%),Urban Population (%),Life Expectancy (Years),Healthcare Expenditure per Capita (USD),Doctor-to-Patient Ratio,Literacy Rate (%),Education Expenditure as % of GDP,Internet Penetration (%),Smartphone Adoption (%),Energy Consumption (TWh),Renewable Energy Share (%),Military Expenditure (in Billion USD),Number of Active Military Personnel,CO2 Emissions (Million Metric Tons),Forest Coverage (%),Number of Airports,Road Network Length (in km),Public Transport Usage (%),Human Development Index (HDI),Gender Equality Index,Poverty Rate (%),Number of International Visitors (in Millions),Tourism Revenue (in Billion USD),Agricultural Land (%),Unemployment Rate (%),Labor Force Participation Rate (%),"Crime Rate (per 100,000)",Corruption Perception Index,Freedom of Press Index,Voting Participation Rate (%),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Population, total",Population growth (annual %),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)"
163,6.45,6.45,161.3,2318,3036,0.8,34.5,0.6,0.6,0.8,8,45.764043,0.8,0.8,0.82,4.835659,0.6,0.76,0.76,0.8,Lyon,0.8,23.83,0.6,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,4.37,4.37,124.75,3133,2855,0.82,32.4,1,0.6,1,0,54.978252,0.62,1,0.8,-1.61778,1,0.75,0.75,0.8,Newcastle Upon Tyne,0.8,21.7,1,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,7.5,7.5,250,4350,3587,1,34,0.8,0.6,0.8,55,38.8462236,0.4,0.8,0.85,-77.3063733,0.8,0.75,0.75,0.8,Fairfax,0.8,22.49,0.8,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,4.3,4.3,16.13,1346,2124,0.8,34.5,0.4,0.6,0.8,36,47.218371,0.6,0.8,0.81,-1.553621,0.42,0.75,0.75,0.8,Nantes,0.4,23.83,0.6,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,4.38,4.38,150,1959,2561,1,34,0.8,0.6,0.8,29,35.1495343,0.4,0.6,0.82,-90.0489801,0.6,0.75,0.75,0.8,Memphis,0.8,22.49,0.8,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,4.5,4.5,366,2286,3076,1,34,0.8,0.6,0.8,13,43.6187102,0.4,0.6,0.84,-116.2146068,1,0.75,0.75,0.8,Boise,0.8,22.49,0.8,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,2.43,2.43,48.68,1121,2208,0.44,40.7,0.6,0.6,0.6,0,50.0646501,1,0.4,0.76,19.9449799,0.6,0.75,0.75,0.8,Kraków,0.8,23.89,0.4,0.64,0,Kraków,12.76,2.06,50.0833,19.9167,clear sky,Poland,6th,188,23014,2.3,21.2,1.1,23675,233221,5,69,0.6,32527,94,93,513,18,22.8,82,2.6,68,78,60,71,0.5,4.2,14.68,6.1,0.859,291.23,53,4,11,29,30,65,25,16,59,40.8,17.1,29.5,36.8,35,85.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,1.77,1.77,86.03,1349,2030,0.6,29.2,0.4,0.8,0.8,21,32.6600388,0.6,0.4,0.79,-16.9596901,0.6,0.75,0.75,1,Funchal,0.4,17.27,0.6,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,5.05,5.05,92.52,2166,2105,0.8,35.1,0.6,0.6,0.8,12,33.8712972,0.6,0.6,0.81,130.5759786,0.6,0.75,0.75,0.8,Kitakyushu,0.8,28.67,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,3.79,3.79,197.02,1746,1883,0.4,81,1,0.2,0.4,13,55.755826,1,0.2,0.59,37.6173,1,0.75,0.75,0.4,Moscow,1,49.03,0.6,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,2.58,2.58,132.88,1112,1394,0.4,79.6,0.4,0.2,0.4,5,28.4594965,1,0.2,0.68,77.0266383,0.4,0.75,0.75,0.4,Gurgaon,0.8,43.17,0.2,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,5,5,250,2742,2883,0.8,34,0.6,0.6,1,38,41.6005448,0.6,0.6,0.83,-93.6091064,0.6,0.75,0.75,0.8,Des Moines,0.4,22.49,0.8,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,5.38,5.38,193.56,2466,2808,0.8,39.8,0.6,0.8,0.8,43,43.2630126,0.6,0.6,0.8,-2.9349852,0.4,0.75,0.75,0.8,Bilbao,0.2,19.92,0.4,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,1.5,1.5,182.5,1019,1516,0,41.9,0.4,0.8,1,18,-33.4691199,0.4,0.2,0.72,-70.641997,0.4,0.75,0.75,0.8,Santiago,0.8,19.23,0.8,0.6,1,Santiago,14.86,2.57,-33.4569,-70.6483,clear sky,Chile,16th,176,16616,9.4,18.4,1.9,,135787,7,56,,26729,88,67,438,17,23.4,62,1.3,47,80.6,60,41,2.4,7.7,,6.2,0.736,487.96,81,11,34,79,39,71,61,20,63,39.1,11.1,25.7,41.6,34.8,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,4,4,458,5653,3553,0.6,34,0.8,0.6,0.6,0,38.707982,0.6,0.6,0.82,-77.088364,0.6,0.75,0.75,0.8,Mount Vernon,0.8,22.49,0.6,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,5,5,90,1932,2334,1,34,0.8,0.6,0.8,13,35.9606384,0.6,0.6,0.81,-83.9207392,0.4,0.75,0.75,0.8,Knoxville,0.4,22.49,0.8,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,0,0,251.44,909,2695,0.8,,0.8,0.6,0.6,25,24.9853699,0.8,0.6,0.85,121.0842928,0.8,0.75,0.75,,New Taipei City,0.8,24.37,0.6,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,4.3,4.3,161.3,1463,2128,1,28.6,0,0.8,0.78,47,51.3396955,0.56,1,0.8,12.3730747,0.6,0.74,0.74,1,Leipzig,0.4,14.8,0.8,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1.35,1.35,87.43,781,1014,0.8,72,0.62,0.6,0.82,10,44.816667,0.8,0.2,0.71,20.466667,1,0.74,0.74,0.6,Belgrade,0.8,27.6,0.62,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,5,5,406.26,2196,3013,0.8,34,0.6,0.6,0.8,80,40.2338438,0.42,0.6,0.84,-111.6585337,0.8,0.74,0.74,0.8,Provo,0.6,22.49,0.8,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,5,5,79,2297,2617,0,34,0,0.6,0.8,56,41.223,0.4,0.6,0.8,-111.9738304,0.8,0.74,0.74,0.8,Ogden,0.6,22.49,0.8,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,5,5,300,2073,2604,0.8,34,0.6,0.6,0.6,13,39.5296329,0.6,0.6,0.8,-119.8138027,1,0.74,0.74,0.8,Reno,0.2,22.49,0.8,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,4.3,4.3,311.84,2081,2687,1,28.6,0.2,0.8,0.8,0,51.2277411,0.4,1,0.79,6.7734556,0.62,0.74,0.74,1,Dusseldorf,0.8,14.8,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,1.93,1.93,217.65,1034,1958,0.6,70.4,0,0.2,0.8,13,20.6596988,0.6,0.6,0.72,-103.3496092,1,0.74,0.74,0.6,Guadalajara,0.4,49.33,0,0.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,4.37,4.37,342.44,2392,3367,1,32.4,0.6,0.6,0.8,0,52.486243,0.8,1,0.88,-1.890401,0.4,0.74,0.74,0.8,Birmingham,0.8,21.7,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,5.54,5.54,221.57,2365,3002,0.6,23.8,0.2,0.8,0.8,0,51.0486151,0.6,0.6,0.79,-114.0708459,0.6,0.74,0.74,1,Calgary,0.8,15.26,0.96,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,5.59,5.59,139,2408,2243,0.8,34,0.8,0.6,0.6,27,36.7671458,0.8,0.6,0.83,-76.3278513,0.8,0.74,0.74,0.8,Virginia Beach,0.4,22.49,0.6,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,1.89,1.89,132.98,5776,1310,0.6,34,0.8,0.6,0.6,34,42.3027307,0.6,0.6,0.78,-85.2850275,0.6,0.74,0.74,0.8,Battle Creek,0.6,22.49,0.6,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,8.67,8.67,270.94,3970,4850,1,21.5,0.2,1,0.8,32,55.6760968,0.6,0.8,0.84,12.5683371,1,0.74,0.74,1,Copenhagen,0.8,8.89,0.98,1,0,Copenhagen,13.07,6.17,55.6759,12.5655,overcast clouds,Denmark,3rd,191,68898,0.5,23.3,1.9,33774,149864,4.5,74,0.9,58430,95,82,501,19,10,93,2,85,81.5,70,85,0.5,1.1,,7.5,0.932,320.65,28,9,63,71,31,54,8,20,7,72.3,26.4,50.2,64.8,81.3,127.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,8.06,8.06,322.6,2806,3944,0.8,34.5,0.6,0.6,0.64,15,48.856614,0.8,0.82,0.81,2.3522219,1,0.74,0.74,0.8,Paris,0.8,23.83,0.8,0.6,0,Paris,10.46,2.06,48.8534,2.3488,clear sky,France,2nd,192,47359,0.5,20.7,1.8,34375,298639,3.1,65,2.9,45581,94,81,494,17,11.4,78,2.1,75,82.9,67,74,0.4,7.7,16.2,6.7,0.864,309.92,40,12,52,58,17,53,16,11,15,63.7,21,43.2,69.5,56.3,102.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,5,5,125,3661,4083,0.8,34,1,0.6,1,19,34.0522342,1,0.8,0.84,-118.2436849,1,0.74,0.74,0.8,Los Angeles,1,22.49,0.8,0.6,1,Los Angeles,21.91,6.69,34.0522,-118.2437,clear sky,United States,8th,186,85373,0.1,18.3,2.4,51147,684500,4.2,67,0.5,69392,94,92,495,17,7.7,88,3.1,65,78.9,88,78,6,10.4,14.57,7,0.823,456.31,51,25,75,81,24,68,36,21,9,70.4,41.7,56.6,75,67.2,142.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,4.3,4.3,215.07,1680,2181,1,28.6,0.4,0.8,0.6,38,49.0068901,0.6,0.6,0.8,8.4036527,0.22,0.74,0.74,1,Karlsruhe,0.4,14.8,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,7.25,7.25,400,3066,4072,0.8,34,0.6,0.6,0.8,9,40.735657,0.8,0.6,0.82,-74.1723667,0.8,0.74,0.74,0.8,Newark,0.8,22.49,0.8,0.75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,4.3,4.3,118.29,1268,2009,1,29.2,0.6,0.8,0.8,21,40.2033145,0.6,0.4,0.78,-8.4102573,0.6,0.74,0.74,1,Coimbra,0.4,17.27,0.6,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,7.5,7.5,375,5646,4750,0.78,34,1,0.6,0.8,27,40.7127837,1,0.8,0.83,-74.0059413,1,0.74,0.74,0.8,New York City,0.8,22.49,0.8,0.6,1,New York City,21.79,4.63,40.7143,-74.006,clear sky,United States,8th,186,85373,0.1,18.3,2.4,51147,684500,4.2,67,0.5,69392,94,92,495,17,7.7,88,3.1,65,78.9,88,78,6,10.4,14.57,7,0.823,456.31,51,25,75,81,24,68,36,21,9,70.4,41.7,56.6,75,67.2,142.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,3.49,3.49,268.83,1826,2281,0.8,43.1,1,0.6,0.6,19,43.7228386,0.8,0.6,0.75,10.4016888,0.8,0.74,0.74,0.8,Pisa,1,28.93,0.4,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,2.96,2.96,215.07,1548,2077,0.8,43.1,1,0.6,0.8,13,45.4064349,0.8,0.8,0.76,11.8767611,1,0.74,0.74,0.8,Padova,0.4,28.93,0.4,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,4.37,4.37,187.13,2605,3012,0.8,32.4,0.6,0.6,1,0,53.8007554,1,0.6,0.83,-1.5490774,0.8,0.74,0.74,0.8,Leeds,0.4,21.7,1,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,10.03,10.03,551.86,4071,5354,1,21.8,1,0.8,0.8,37,47.3686498,0.8,0.8,0.86,8.5391825,0.6,0.74,0.74,1,Zurich,0.8,11.76,0.6,1,1,Zurich,8.83,1.54,47.3667,8.55,few clouds,Switzerland,4th,190,105669,0,21.4,1.9,39697,,,80,1.7,64824,94,89,498,17,10.1,96,2.3,45,84,81,86,0.3,0.4,,7.5,0.928,252.78,15,7,66,22,30,59,7,26,1,101.1,46.5,74.9,109.1,97,158.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,5,5,325,2257,3168,0.8,34,1,0.6,1,85,35.0456297,0.4,0.8,0.82,-85.3096801,0.6,0.74,0.74,0.8,Chattanooga,0.4,22.49,0.8,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,2.09,2.09,170.05,1031,1187,0.82,69.6,0.64,0.6,0.64,10,40.183333,0.82,0.42,0.68,44.516667,0.64,0.74,0.74,0.6,Yerevan,0.8,28.79,0,0.82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,0.75,0.75,5.61,2971,1488,0.4,74.9,0.4,0.2,0.8,0,-8.7262899,0.6,0.2,0.72,115.13657,0.4,0.74,0.74,0.6,Kuta,0.8,41.72,0.4,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1.41,1.41,195.38,1119,1134,0.6,78.8,0.6,0.2,1,12,19.8758052,0.8,0.4,0.76,99.7388804,0.8,0.74,0.74,0.4,Chiang Rai,0.6,44.53,0.6,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,1.57,1.57,219.39,1010,1456,0.8,,1,0.6,0.6,7,24.1477358,0.4,0.6,0.77,120.6736482,0.4,0.74,0.74,,Taichung,0.6,24.37,0,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,5.66,5.66,415.06,3285,2934,1,22.5,0.2,0.8,0.8,6,-37.814107,0.8,0.8,0.8,144.96328,0.8,0.74,0.74,1,Melbourne,0.6,17.84,0.8,0.82,0,Melbourne,24.04,7.2,28.0836,-80.6081,clear sky,Australia,5th,189,66589,,19.4,,37433,528768,3.1,73,1,55206,93,84,499,20,6.7,92,2.7,92,83,85,67,0.9,12.5,14.36,7.1,0.902,370.1,57,7,95,38,17,65,21,7,10,70.2,33.4,52.5,77.3,62.5,127.4,2011.5,1.327916667,52578.20833,1.504166667,25.16875,1.308333333,85.7525,83.12916667,5229.25,3.402083333,98.90916667,4.906666667,90.83208333,85.82458333,297.95,22.78041667,27.30208333,57671.33333,413.2629167,15.98416667,598.275,869673.75,17.10625,0.94625,0.95125,9.64125,9.407916667,60.1775,52.86375,4.97375,65.85708333,899.5125,77.07583333,25.15333333,92.07625,,,,,,,,
208,2.78,2.78,508.87,2934,2541,0.8,35.1,0.4,0.6,0.8,1,35.6894875,1,0.6,0.89,139.6917064,1,0.74,0.74,0.8,Tokyo,1,28.67,0.2,1,0,Tokyo,21.58,2.06,35.6895,139.6917,broken clouds,Japan,2nd,192,33138,6.4,21.8,1.9,28872,294735,2.7,77,0.8,38515,89,,520,16,13.7,87,1.4,53,84.4,37,77,0.2,,14.1,6.1,0.866,366.2,47,3,70,34,37,82,20,23,46,46.1,13.4,30.4,53.7,27.8,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,0.97,0.97,78.64,1101,1290,0.6,70.4,0.4,0.2,0.6,7,32.5149469,1,0.6,0.66,-117.0382471,1,0.73,0.73,0.6,Tijuana,0.4,49.33,0,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,3.23,3.23,21.35,1628,1486,0.8,36.1,1,0.6,0.8,27,35.1766194,0.6,0.4,0.82,126.7037153,0.6,0.73,0.73,0.8,Gwangju,1,28.58,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,5.38,5.38,161.3,2256,2956,0.6,22.5,0.4,0.8,0.8,17,51.8968917,0.8,0.8,0.81,-8.4863157,0.6,0.73,0.73,1,Cork,0.4,12.4,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,5.38,5.38,268.83,2063,2841,0,28.2,0.8,1,0.8,36,51.85,0.6,0.6,0.8,5.8667,0.6,0.73,0.73,1,Nijmegen,0.4,8.76,0.8,0.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,5.38,5.38,145.17,3417,3542,0.8,39.8,0.8,0.8,0.8,0,39.5696005,1,1,0.83,2.6501603,1,0.73,0.73,0.8,Palma De Mallorca,0.8,19.92,0.4,0.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,3.27,3.27,15.38,991,2290,0.6,48.4,0.2,0.6,1,5,-34.92125,1,0.8,0.74,-57.9543333,1,0.73,0.73,0.8,La Plata,0.4,25.09,0.8,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,5,5,500,3553,4183,0.8,34,1,0.6,1,55,40.6460622,0.6,0.6,0.88,-111.4979729,1,0.73,0.73,0.8,Park City,0.8,22.49,0.8,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,4.3,4.3,387.12,1855,2484,1,28.6,0.6,0.8,0.8,20,53.0792962,0.6,1,0.81,8.8016937,1,0.73,0.73,1,Bremen,0.8,14.8,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,4.37,4.37,355.77,2456,2984,1,22.6,0.8,0.8,1,35,57.70887,1,0.8,0.87,11.97456,1,0.73,0.73,1,Gothenburg,0.8,12.33,0.8,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2.69,2.69,107.53,1054,1656,0.8,55.9,0.6,0.4,0.8,0,40.6400629,0.6,0.8,0.75,22.9444191,1,0.73,0.73,0.8,Thessaloniki,0.4,30.35,0.4,0.8,0,Thessaloniki,16.43,1.54,40.6403,22.9439,few clouds,Greece,5th,189,23966,0.4,21.8,1.2,20791,148323,21.7,56,10.8,27207,78,76,453,19,14.5,67,1.8,58,81.7,79,69,1,4.5,15.03,5.8,0.766,337.8,71,5,6,42,22,74,23,20,35,52,12.9,33.2,48.4,51.3,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,5.38,5.38,258.08,3767,3314,0.8,28.2,0.8,1,0.98,10,52.3702157,0.8,1,0.8,4.8951679,1,0.73,0.73,1,Amsterdam,0.8,8.76,0.8,0.8,1,Amsterdam,8,3.58,52.374,4.8897,clear sky,Netherlands,3rd,191,63750,0.1,19.6,2,34984,248599,2.5,78,0.9,58828,94,81,502,19,12.2,91,2.6,79,82.2,75,83,0.6,0.3,15.45,7.5,0.908,302.81,32,4,69,56,20,63,8,15,18,63.1,33.5,48.9,59.9,61.2,124.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,5.38,5.38,436.86,1973,2765,0.6,39.8,0.6,0.8,0.8,23,38.3459963,0.8,0.6,0.84,-0.4906855,1,0.73,0.73,0.8,Alicante,0.6,19.92,0.45,0.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
